"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9238",3394055,"Megalaria laureri (Hepp ex Th.Fr.) Hafellner","Megalaria laureri","SPECIES","ACCEPTED",100,"EXACT","Fungi","Megalaria laureri",5,3394055,"Megalaria laureri","Fungi"
"9239",8191827,"Lepraria membranacea (Dicks.) Vain.","Lepraria membranacea","SPECIES","ACCEPTED",99,"EXACT","Fungi","Lepraria membranacea",5,8191827,"Lepraria membranacea","Fungi"
"9240",3392669,"Lepraria vouauxii (Hue) R.C.Harris","Lepraria vouauxii","SPECIES","ACCEPTED",100,"EXACT","Fungi","Lepraria vouauxii",5,3392669,"Lepraria vouauxii","Fungi"
"9241",3392646,"Lepraria lobificans Nyl.","Lepraria lobificans","SPECIES","ACCEPTED",100,"EXACT","Fungi","Lepraria lobificans",5,3392646,"Lepraria lobificans","Fungi"
"9242",3391691,"Cladonia umbricola Tønsberg & Ahti","Cladonia umbricola","SPECIES","SYNONYM",100,"EXACT","Fungi","Cladonia polydactyla",5,10907622,"Cladonia umbricola","Fungi"
"9243",9788945,"Cladonia diversa Asperges ex S.Stenroos","Cladonia diversa","SPECIES","ACCEPTED",99,"EXACT","Fungi","Cladonia diversa",5,9788945,"Cladonia diversa","Fungi"
"9244",3390030,"Cladonia portentosa (Dufour) Coem.","Cladonia portentosa","SPECIES","ACCEPTED",100,"EXACT","Fungi","Cladonia portentosa",5,3390030,"Cladonia portentosa","Fungi"
"9245",3388617,"Collonema papillatum Grove","Collonema papillatum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Collonema papillatum",5,3388617,"Collonema papillatum","Fungi"
"9246",3388253,"Coniothecium epidermidis Corda","Coniothecium epidermidis","SPECIES","ACCEPTED",100,"EXACT","Fungi","Coniothecium epidermidis",5,3388253,"Coniothecium epidermidis","Fungi"
"9247",3386532,"Rhizopus arrhizus A.Fisch.","Rhizopus arrhizus","SPECIES","ACCEPTED",100,"EXACT","Fungi","Rhizopus arrhizus",5,3386532,"Rhizopus arrhizus","Fungi"
"9248",3385807,"Pilobolus lentiger Corda","Pilobolus lentiger","SPECIES","ACCEPTED",100,"EXACT","Fungi","Pilobolus lentiger",5,3385807,"Pilobolus lentiger","Fungi"
"9249",2514207,"Uredo fici Castagne","Uredo fici","SPECIES","SYNONYM",96,"FUZZY","Fungi","Cerotelium fici",5,9206047,"Uredo ficus","Fungi"
"9250",3382846,"Uredo betulae Schumach.","Uredo betulae","SPECIES","SYNONYM",100,"EXACT","Fungi","Melampsoridium betulinum",5,2516809,"Uredo betulae","Fungi"
"9251",3382488,"Uredo castaneae Henn.","Uredo castaneae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Uredo castaneae",5,3382488,"Uredo castaneae","Fungi"
"9252",3381360,"Uromyces ligulariae Hirats. & Hoshioka","Uromyces ligulariae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Uromyces ligulariae",5,3381360,"Uromyces ligulariae","Fungi"
"9253",3379875,"Puccinia tuberculans Ellis & Everh.","Puccinia tuberculans","SPECIES","ACCEPTED",100,"EXACT","Fungi","Puccinia tuberculans",5,3379875,"Puccinia tuberculans","Fungi"
"9254",3378995,"Puccinia montserrates Mayor","Puccinia montserrates","SPECIES","ACCEPTED",100,"EXACT","Fungi","Puccinia montserrates",5,3378995,"Puccinia montserrates","Fungi"
"9255",3378588,"Puccinia momordicae Kalchbr.","Puccinia momordicae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Puccinia momordicae",5,3378588,"Puccinia momordicae","Fungi"
"9256",3376759,"Puccinia bogotensis Mayor","Puccinia bogotensis","SPECIES","ACCEPTED",100,"EXACT","Fungi","Puccinia bogotensis",5,3376759,"Puccinia bogotensis","Fungi"
"9257",3376341,"Puccinia hieracii (Röhl.) H.Mart.","Puccinia hieracii","SPECIES","ACCEPTED",100,"EXACT","Fungi","Puccinia hieracii",5,3376341,"Puccinia hieracii","Fungi"
"9258",3375764,"Aecidium lobbii Syd.","Aecidium lobbii","SPECIES","ACCEPTED",100,"EXACT","Fungi","Aecidium lobbii",5,3375764,"Aecidium lobbii","Fungi"
"9259",3375010,"Aecidium hydrangeae-paniculatae Dietel","Aecidium hydrangeae-paniculatae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Aecidium hydrangeae-paniculatae",5,3375010,"Aecidium hydrangeae-paniculatae","Fungi"
"9260",3374715,"Aecidium moricola Henn.","Aecidium moricola","SPECIES","ACCEPTED",100,"EXACT","Fungi","Aecidium moricola",5,3374715,"Aecidium moricola","Fungi"
"9261",3374387,"Peridermium rugosum H.S.Jacks.","Peridermium rugosum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Peridermium rugosum",5,3374387,"Peridermium rugosum","Fungi"
"9262",3374222,"Melampsoridium alni (Thüm.) Dietel","Melampsoridium alni","SPECIES","ACCEPTED",100,"EXACT","Fungi","Melampsoridium alni",5,3374222,"Melampsoridium alni","Fungi"
"9263",3374052,"Phragmidium sinicum F.L.Tai & C.C.Cheo","Phragmidium sinicum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Phragmidium sinicum",5,3374052,"Phragmidium sinicum","Fungi"
"9264",3373856,"Melampsora humboldtiana Speg.","Melampsora humboldtiana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Melampsora humboldtiana",5,3373856,"Melampsora humboldtiana","Fungi"
"9265",3372837,"Septobasidium filiforme Couch ex L.D.Gómez & Henk","Septobasidium filiforme","SPECIES","ACCEPTED",99,"EXACT","Fungi","Septobasidium filiforme",5,3372837,"Septobasidium filiforme","Fungi"
"9266",3372836,"Septobasidium retiforme (Berk. & M.A.Curtis) Pat.","Septobasidium retiforme","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium retiforme",5,3372836,"Septobasidium retiforme","Fungi"
"9267",3372791,"Septobasidium acaciae Sawada","Septobasidium acaciae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium acaciae",5,3372791,"Septobasidium acaciae","Fungi"
"9268",3372774,"Septobasidium theae Boedijn & B.A.Steinm.","Septobasidium theae","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium theae",5,3372774,"Septobasidium theae","Fungi"
"9269",3372743,"Septobasidium natalense Couch ex L.D.Gómez & Henk","Septobasidium natalense","SPECIES","ACCEPTED",99,"EXACT","Fungi","Septobasidium natalense",5,3372743,"Septobasidium natalense","Fungi"
"9270",3372726,"Septobasidium fraxini Couch","Septobasidium fraxini","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium fraxini",5,3372726,"Septobasidium fraxini","Fungi"
"9271",3372720,"Septobasidium tigrinum Boedijn & B.A.Steinm.","Septobasidium tigrinum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium tigrinum",5,3372720,"Septobasidium tigrinum","Fungi"
"9272",3372651,"Septobasidium leprosum Couch ex L.D.Gómez & Henk","Septobasidium leprosum","SPECIES","ACCEPTED",99,"EXACT","Fungi","Septobasidium leprosum",5,3372651,"Septobasidium leprosum","Fungi"
"9273",7553796,"Septobasidium cokeri Couch","Septobasidium cokeri","SPECIES","ACCEPTED",100,"EXACT","Fungi","Septobasidium cokeri",5,7553796,"Septobasidium cokeri","Fungi"
"9274",8032568,"Dacrymyces aurantius (Schwein.) Farl.","Dacrymyces aurantius","SPECIES","SYNONYM",95,"FUZZY","Fungi","Naematelia aurantia",5,7976718,"Dacrymyces aurantiacus","Fungi"
"9275",3368735,"Tulasnella lilacina J.Schröt.","Tulasnella lilacina","SPECIES","ACCEPTED",100,"EXACT","Fungi","Tulasnella lilacina",5,3368735,"Tulasnella lilacina","Fungi"
